name,id,uri,followers,genres,popularity,top_tracks
H.1,3azKf6nXrUCI1RLZkX4Aj6,spotify:artist:3azKf6nXrUCI1RLZkX4Aj6,9131,lo-fi hip hop; lo-fi; lo-fi beats,50,Every Step Holds Freedom; See You Again; A Way Home; Ethereal; Sun Will Return; Circle; Timeless; Twilight Journey; Let It Go; Amore
Notation,6Ez42bOoRelk95xv7GBMhx,spotify:artist:6Ez42bOoRelk95xv7GBMhx,1687,lo-fi beats; lo-fi; jazz beats,50,"Reminiscing; Lazy Day; Green Pastures; Notebooks; Sunset; Lunar; Wakefield, NH; wakefield; Lakeside Breeze; Lazy River"
butterfli,6A3Fdu30Vz62jf3XP5pLy5,spotify:artist:6A3Fdu30Vz62jf3XP5pLy5,202,lo-fi; lo-fi beats,50,far away; lonely nights; constellations; home for the holidays; hallowed; well said; balanced; oceanside; kaleidoscope; final call
sad notes,6LlMF86oZBZG1nvkIkso0A,spotify:artist:6LlMF86oZBZG1nvkIkso0A,299,lo-fi,50,counting the days until we meet again; alone; amber hour; day by day; last night of the week; eventide; when the city sleeps; Tiara; rain & the moon; empty rooms
Fya Playce,7M7ryKqUcnn2r0F08gYuxr,spotify:artist:7M7ryKqUcnn2r0F08gYuxr,735,lo-fi beats; lo-fi,50,soaring summer; Tuscany; santa chill; park stroll; Wait For Spring; kites in the sky; trick shot; Soul of Serenity; Ghost House; taking the time
Mellow Melt,6Ur5qbkaIdwqygJFTTjyHJ,spotify:artist:6Ur5qbkaIdwqygJFTTjyHJ,582,lo-fi,50,Road 0679; Orient Silence; Night Lights; Sunday; Sleepy Memory; City Slumber; Drifting; Snowflakes; Late Hours; Snooze
Fugee,6xtxoTYp3AgomC2pfUKl8Q,spotify:artist:6xtxoTYp3AgomC2pfUKl8Q,2246,medieval; lo-fi,49,The Quiet Kind; Haven of Eranos; Iron Fist; The Long Road Home; Minstrel’s Song; Sword and Shield; Mirth & Mayhem; December To Remember; Tales From Midgard; A Winter's Love
Mellow Mirror,7kVcHt4VUH5dGb0Gz8IY3G,spotify:artist:7kVcHt4VUH5dGb0Gz8IY3G,202,lo-fi,49,ValleyViews; End of Starts; Shadows; who knows; Sunshine; s i d e w a y s; Freeze; Midnight Metro; Cruising; Arcade Glow
Tooslo,3CBEpst0ojgj2ZBmzDighK,spotify:artist:3CBEpst0ojgj2ZBmzDighK,516,lo-fi,49,"Wandering Haze; Sapphire Skies; stars; peaceful; HOPEFULLY, SOMEDAY; go back to sleep; swept in blankets; dreamscapes; Feather; who am I, really?"
Ptr.,6NjVgE12RKrH5MjW9Tgd0o,spotify:artist:6NjVgE12RKrH5MjW9Tgd0o,4744,chillstep,49,Slow Down; Wish; Days Gone By; Wash Away; Rest; Roots; Tomorrow; Drift; Genesis; Taiga
Sleepr Cell,7eci6ktzmN5wocxdk17C2m,spotify:artist:7eci6ktzmN5wocxdk17C2m,697,lo-fi beats; lo-fi,49,Half Moon; slow turn; pink dawn; marzipan shuffle; gradual; Happy Christmas (War is Over); periphery; wind chimes; soft crease; midnight in december and i'm lost
jaackson,1Mvzmc04DfxzjMsV6oCohI,spotify:artist:1Mvzmc04DfxzjMsV6oCohI,1669,lo-fi beats; lo-fi; jazz beats; lo-fi hip hop,49,gravenhurst; last light; teach each other lessons; our place; spring is coming; Dew Point; gobi; Nowhere; summer haze; Tenderness
nearly monday,77lm1CStze3sAtsBUvW2Rm,spotify:artist:77lm1CStze3sAtsBUvW2Rm,354,lo-fi; lo-fi beats,49,told u; schoolyard at night; no ones around me; sunday; looking back; play pretend; moment to myself; i said it's fine; in the backseat of my parents car; miss u already
pete castle,30iN8zR9kklIfdH9dL8qOn,spotify:artist:30iN8zR9kklIfdH9dL8qOn,129,,48,in an open field; until then; far from here; after today; chasing shadows; the dawn is yours; through the fog; what remains; Free Again; in passing
ron quixote,7IsLRXgrGBhZPleg96NhwA,spotify:artist:7IsLRXgrGBhZPleg96NhwA,2393,lo-fi beats; lo-fi,48,Cocoon; Flyin; Walk Away; In The Clouds; Nonobody; Mañana; slomotion; Chewy; Goinhome; Hey
Osian Lewis,3kn72XyMIHZfZAQ4LqsUEs,spotify:artist:3kn72XyMIHZfZAQ4LqsUEs,137,lo-fi,48,Moonlit Amble; By The Fire; Tea; Serengeti; Park At Night; Ladybug; Cottage; Tiny Moose; Somber
Mike Nora,5HCpJ18GNaqB4nCl6MyGBI,spotify:artist:5HCpJ18GNaqB4nCl6MyGBI,90,lo-fi beats; lo-fi,48,solitude; hello buddy; how long; Get Through; Nocturnal; Nightshift; talk more; Flipped FM; letting go; i don't wanna think about tomorrow
deadman 死人,1IAIRAvJCUc01U0doDVKN9,spotify:artist:1IAIRAvJCUc01U0doDVKN9,52820,anime,48,Omae Wa Mou; it rained as you said goodbye; can't explain it; Omae Wa Mou - Slowed; Omae Wa Mou - Sped Up; joueur; ANIME SONG; the indifferent cruelty of the universe meets the indomitable human spirit; negative thoughts; POURING
skrn,1k29Ytv2zKdGrYGadr9etJ,spotify:artist:1k29Ytv2zKdGrYGadr9etJ,995,lo-fi beats; lo-fi; jazz beats,48,croissant; stars; Sunset Dribble; skills; City Lounge; Emotions; canvas; bubble push; Jazz Avenue; Night Rio
Brxvs,3LoO7TNHi4wqe78tsBMMv5,spotify:artist:3LoO7TNHi4wqe78tsBMMv5,1011,lo-fi; lo-fi beats,48,two hearts; gravenhurst; rosi; Kensington Market; carried away; new start; Pasadena; Along the moonlit path; Ice Skating; Daytrip
ourchase,1zvfbLdrzYE5C41tjeLwkW,spotify:artist:1zvfbLdrzYE5C41tjeLwkW,199,lo-fi; lo-fi beats,48,slow river; field of blue; last summer
Cmd q,6XiXz5Vit02rmpr0M9SzMG,spotify:artist:6XiXz5Vit02rmpr0M9SzMG,869,lo-fi beats; lo-fi,48,Morse; Banana Muffin; Tired; Yorkshire; Lazy Locomotive; Gameboy; Crow; Blueprints; migratory birds; Everything you need
Vincent Rayn,3zWwvS0OdQwTploEQjT1VG,spotify:artist:3zWwvS0OdQwTploEQjT1VG,2069,lo-fi beats; lo-fi,48,Osmose; Birds Eye; Coastline; Windmill; Ridge; Mirrorless; Rhythm; Praia Gaivotas; Piece Of Mind; Fields
Nova Night,5BVLrCpEMxXA6r5woi5f53,spotify:artist:5BVLrCpEMxXA6r5woi5f53,700,lo-fi,48,Midnight Groove; Locked Out; Late Night Strings; Long Road Home; Sun Haze; Lofi Dream; Lofi For Witches; lost in the dark; Witches Brew; Voyage Through Time
Mozzie,10gjx964A7V2fWnMZXTiy4,spotify:artist:10gjx964A7V2fWnMZXTiy4,2243,lo-fi beats; lo-fi; jazz beats,48,Amelie; forever young; floating; Olive; coconut; Oasis; Palette; camellia; chrome; Fable
Baen Mow,2mt3wR9B4tg9KXvICFYhqM,spotify:artist:2mt3wR9B4tg9KXvICFYhqM,1384,lo-fi hip hop; lo-fi; lo-fi beats,48,Drifting; Submerging into Consciousness; Blank Canvas; Dragonball; Easy Like Any Day; Do or Donut; Under Your Skin; Abduction; Sleep Tight Tonight; Waking up with the Sun
Corridor,0Tc5RmUZd5MfNBwBQfEXld,spotify:artist:0Tc5RmUZd5MfNBwBQfEXld,37,lo-fi beats; lo-fi,47,Rainseat; Paperlate; Where I Sat Tonight; Late Rain Window
