name,uri,followers,genres,popularity,top_tracks
The Backseat Lovers,spotify:artist:6p2HnfM955TI1bX34dkLnI,855447,,70,Kilby Girl; Pool House; Maple Syrup; Snowbank Blues; Watch Your Mouth; Out of Tune; Just a Boy; Growing/Dying; Still a Friend; Davy Crochet
Fitz and The Tantrums,spotify:artist:4AcHt3JxKy59IX7JNNlZn4,1005138,,69,Out of My League; HandClap; The Walker; I Just Wanna Shine; Livin' for the Weekend; Moneygrabber; Fool; Out of My League - Sped Up; Man on The Moon; Spark
Young the Giant,spotify:artist:4j56EQDQu5XnL7R3E9iFJT,1699691,,69,Mind Over Matter (Reprise); Mind Over Matter; Cough Syrup; Superposition; My Body - 2020 Remaster; Something to Believe In; Silvertongue; Heat of the Summer; Mind Over Matter (In The Open); Bitter Fruit (In The Open)
BØRNS,spotify:artist:1KP6TWI40m7p3QBTU6u2xo,1367664,,69,"Electric Love; Past Lives; 10,000 Emerald Pools; American Money; Clouds; Electric Love - Oliver Remix; Dopamine; The Emotion; Seeing Stars; Holy Ghost"
fun.,spotify:artist:5nCi3BB41mBaMH9gfr6Su0,3051302,,69,We Are Young (feat. Janelle Monáe); Some Nights; Carry On; C'mon - Single Version; Why Am I the One; Sight of the Sun - Single Version; All The Pretty Girls; The Gambler; All Alright; Be Calm
James Blake,spotify:artist:53KwLdlmrlCelAZMaLVZqU,1544320,,69,"TIL FURTHER NOTICE (feat. James Blake & 21 Savage); King's Dead (with Kendrick Lamar, Future & James Blake); Hummingbird (Metro Boomin & James Blake); Mile High (feat. Travis Scott & Metro Boomin); Retrograde; Both Sides Of A Smile (feat. James Blake); when the party’s over; Nonviolent Communication (Metro Boomin & James Blake, A$AP Rocky, 21 Savage); Let Her Go (feat. James Blake); Coming Back (feat. SZA)"
Yeah Yeah Yeahs,spotify:artist:3TNt4aUIxgfy9aoaft5Jj2,1467162,indie rock,69,Heads Will Roll - A-Trak Remix Radio Edit; Heads Will Roll; Heads Will Roll - A-Trak Remix; Maps; Spitting Off the Edge of the World; Gold Lion; Y Control; Soft Shock; Sacrilege; Burning
London Grammar,spotify:artist:3Bd1cgCjtCI32PYvDC3ynO,1639997,,68,Strong; Wasting My Young Years; Hey Now; Feelings Gone (feat. London Grammar); Nightcall; Non Believer; Californian Soil; Oh Woman Oh Man; Baby It's You; Lose Your Head
Wet Leg,spotify:artist:2TwOrUcYnAlIiKmVQkkoSZ,803162,indie rock; indie,68,Wet Dream; mangetout; Chaise Longue; catch these fists; davina mccall; CPR; pokemon; liquidize; jennifer's body; pond song
Saint Motel,spotify:artist:1dWEYMPtNmvSVaDNLgB6NV,765481,,67,My Type; Cold Cold Man; Sweet Talk; A Good Song Never Dies; Move; For Elise; Wait & See; Van Horn; Puzzle Pieces; Preach
The Head And The Heart,spotify:artist:0n94vC3S9c3mb2HyNAOcjg,1146476,indie folk; folk pop; folk,67,Rivers and Roads; Another Story; Lost In My Mind; Honeybee; All We Ever Knew; Let's Be Still; Down in the Valley; People Need A Melody; Shake; Virginia (Wind In The Night)
Santigold,spotify:artist:6Jrxnp0JgqmeUX1veU591p,798692,,67,Disparate Youth; Thought I Was Dead (feat. ScHoolboy Q & Santigold); L.E.S. Artistes; Run the Road; Solidarité; Shove It (feat. Spank Rock); Lights Out; Chasing Shadows; I'm A Lady (feat. Trouble Andrew); You'll Find A Way
The Magician,spotify:artist:4WUGQykLBGFfsl0Qjl6TDM,103888,,67,I Follow Rivers - The Magician Remix; All My Life; Sunlight (feat. Years and Years); Sunlight (feat. Years and Years) - Darius Remix; Love Break; Hippies (feat. Two Another); Love On You (feat. Griff Clawson); Big Fun; Rather Be (feat. Jess Glynne) - The Magician Remix; You and Me
Caroline Polachek,spotify:artist:4Ge8xMJNwt6EEXOzVXju9a,636347,art pop,67,"Everything is romantic featuring caroline polachek; Mind Loaded (feat. Caroline Polachek, Lorde & Mustafa); The Field (feat. The Durutti Column, Tariq Al-Sabir, Caroline Polachek & Daniel Caesar); So Hot You're Hurting My Feelings; Chosen; Welcome To My Island - George Daniel & Charli XCX Remix; Bunny Is A Rider; Welcome To My Island; Sunset; Spring Is Coming With A Strawberry In The Mouth"
Bootie Brown,spotify:artist:6GI3CJjT2bOnMfprCpjT1d,17298,,67,"Dirty Harry (feat. Bootie Brown); New Gold (feat. Tame Impala and Bootie Brown); UnAwake; Otim Hop - feat. Otim Alpha, Bootie Brown, K.O.G & Tom Excell; Stanky Funk - feat. Bootie Brown; Eye Wish; Suddenly; GET 2 THE POINT; Shit Luck; Suddenly - Remix"
Phoenix,spotify:artist:1xU878Z1QtBldR7ru9owdU,1942483,indie,67,1901; Lisztomania; Nightcall; If I Ever Feel Better; Too Young; Lasso; Fences; Girlfriend; Trying To Be Cool; After Midnight (feat. Clairo)
Björk,spotify:artist:7w29UYBi0qsHi5RTcv3lmA,2419920,art pop; trip hop,67,"Army Of Me; Venus As A Boy; Big Time Sensuality; Human Behaviour; Come To Me; It's Oh So Quiet; Play Dead - Tim Simenon 7"" Remix; Jóga; All Is Full Of Love; Hyper-ballad"
Roar,spotify:artist:7dIpKWlEeAljA20vFJ82RD,1452252,,66,I Can't Handle Change; Christmas Kids; Poor Grammar; The Comfort of a Laugh Track; Heart For Brains; Duck Or Ape; Just a Fan; Flightless Bird; Chinese Tattoo; Baby Bride Rag
Her's,spotify:artist:77mJc3M7ZT5oOVM7gNdXim,1168730,indie,66,What Once Was; Harvey; She Needs Him; Marcel; Cool with You; Dorothy; Blue Lips; Speed Racer; Don't Think It Over; If You Know What's Right
Declan McKenna,spotify:artist:2D4FOOOtWycb3Aw9nY5n3c,1080736,,66,Brazil; Slipping Through My Fingers; Why Do You Feel So Down; British Bombs; Make Me Your Queen; Isombard; The Key to Life on Earth; It might never end (feat. Declan McKenna); Mulholland's Dinner and Wine; Nothing Works
Still Woozy,spotify:artist:4iMO20EPodreIaEl8qW66y,1085821,bedroom pop,66,Goodie Bag; Window; Hush - Still Woozy Remix; Habit; Cooks; Shotput; Lucy; That's Life; Again; Rocky
The Wombats,spotify:artist:0Ya43ZKWHTKkAbkoJJkwIB,1109066,indie,66,Greek Tragedy; Let's Dance to Joy Division; Moving to New York; Turn; Greek Tragedy - Oliver Nelson TikTok Remix; Kill the Director; Tokyo (Vampires & Wolves); Pink Lemonade; Lemon to a Knife Fight; Holy Sugar
Arcade Fire,spotify:artist:3kjuyTCjPG1WMFCiyc5IuB,2394097,indie rock; baroque pop,66,The Suburbs; Dimensions; Wake Up; Rebellion (Lies); Ready to Start; Everything Now; Song on the Beach; Sprawl II (Mountains Beyond Mountains); No Cars Go; My Body Is a Cage
FKA twigs,spotify:artist:6nB0iY1cjSY1KyhYyuIIKH,1430876,art pop; alternative r&b,66,"FLY NITË; Ego Death (feat. Kanye West, FKA twigs & Skrillex); Perfectly; oh my love; Eusexua; Childlike Things; Perfect Stranger; Two Weeks; Drums of Death; Striptease"
Catfish and the Bottlemen,spotify:artist:2xaAOVImG2O6lURwqperlD,1172708,indie; indie rock,66,Cocoon; 7; Kathleen; Longshot; Pacifier; Homesick; Soundcheck; Fallout; Anything; Twice
Vampire Weekend,spotify:artist:5BvJzeQpmsdsFp4HGUYUEx,2032413,indie; baroque pop,66,A-Punk; Campus; This Life; Oxford Comma; Harmony Hall; Unbelievers; Step; Cape Cod Kwassa Kwassa; Diane Young; Sunflower (feat. Steve Lacy)
Ben Howard,spotify:artist:5schNIzWdI9gJ1QRK8SBnc,2000879,indie folk; folk pop,66,Only Love; Old Pine; Keep Your Head Up; Promise; Oats In The Water; I Forget Where We Were; In Dreams; Small Things; Conrad; She Treats Me Well
Remi Wolf,spotify:artist:0NB5HROxc8dDBXpkIi1v3d,626734,,66,Photo ID (with Dominic Fike); Cinderella; Soup; Disco Man; Children of the Baked Potato; Sexy Villain; Toro; Liz; Cheesin'; Photo ID
The National,spotify:artist:2cCUtGK9sDU2EoElnk0GNB,1679452,indie rock,66,coney island (feat. The National); The Alcott (feat. Taylor Swift); I Need My Girl; About Today - 2021 Remaster; Fake Empire; Bloodbuzz Ohio; Light Years; Don't Swallow the Cap; Weird Goodbyes (feat. Bon Iver); Once Upon A Poolside (feat. Sufjan Stevens)
Metric,spotify:artist:1rCIEwPp5OnXW0ornlSsRl,913154,,65,Black Sheep - Brie Larson Vocal Version; Black Sheep; Help I'm Alive; Gold Guns Girls; Lost Kitten; Combat Baby; Gimme Sympathy; Breathing Underwater; Dead Disco; All Comes Crashing
HONNE,spotify:artist:0Vw76uk7P8yVtTClWyOhac,1604171,,65,Location Unknown ◐ (feat. BEKA) - Brooklyn Session; Day 1 ◑; folding chairs on the moon; Crying Over You ◐; no song without you; free love; Me & You ◑; COMING HOME (feat. NIKI); Someone That Loves You; Warm on a Cold Night
GROUPLOVE,spotify:artist:3kVUvbeRdcrqQ3oHk5hPdx,1251991,indie,65,Tongue Tied; Ways to Go; Raspberry; Colours; Back in the 90's; Itchin' on a Photograph; Deleter; Let Me In - From The Fault in Our Stars Soundtrack; Welcome to Your Life; Hello
