name,uri,followers,genres,popularity,top_tracks
Clayton & Romário,spotify:artist:1tKrZaph4cLsnEdqC5BNEQ,638791,sertanejo; sertanejo universitário; agronejo; arrocha,73,Opa Cadê Eu - Ao Vivo; Desapaixona Eu - Ao Vivo; Aproveita - Ao Vivo; Sei Tocar Violão - Ao Vivo; Estrela Perdida / Fui Eu / Enquanto o Sol Brilhar - Acústico; Namorando Ou Não - Ao Vivo; Morena - Ao Vivo; Ai Eu Chorei - Ao Vivo; Água Nos Zói - Ao Vivo; Agenda Rabiscada / Amor Sincero / Fruto Especial - Ao Vivo
BIN,spotify:artist:1WXbiUMl1AT9Inb619xPUg,2179008,brazilian trap; brazilian hip hop; trap; trap funk,73,Eu Vou na Sua Casa; Champagne; Saturno; Poesia Acústica #12 Pra Sempre; Marília Mendonça; Apê 1001; Penelope; Quase uma Semana; Carro Forte; Dior
Israel & Rodolffo,spotify:artist:41QLxRXlc2NwfJZkHGHKid,3481385,sertanejo; sertanejo universitário; agronejo; piseiro; arrocha,73,"Não, Mas Quase - Ao Vivo; Arruma Um Bão; Marca Evidente - Ao Vivo; Fiu Fiu - Ao Vivo; Seu Brilho Sumiu - Ao Vivo; Bombonzinho - Ao Vivo; Greve De Beijo - Ao Vivo; Primeiramente - Ao Vivo; Batom de Cereja - Ao Vivo; Declaração pro Bar - Ao Vivo"
Danilo e Davi,spotify:artist:5DaqVKaxeqDbJuxaIP9m4u,210568,sertanejo; agronejo; sertanejo universitário,72,Apaga Apaga Apaga - Ao Vivo; Mudou O Texto; Dois Pé no Peito - Ao Vivo; Tarde Demais / Nova Namorada / Jejum De Amor - Ao Vivo; Tive Que Bater Palma - Ao Vivo; Fumo da Noite - Ao Vivo; Duvidoso; Digita e Apaga - Ao Vivo; Chorei No Uber; Tá Namorando Pra Quê? - Ao Vivo
Mc Jacaré,spotify:artist:6qrqAYlS6lUj2BVXax7SZW,910692,funk; brazilian funk; funk carioca; trap funk,72,Senta e Cala a Boca; Eu Até Gosto de Você; Senta e Cala a Boca; Pinxadão; Toma Tapa; Sentar pro Trem; Olhares; Vento Forte; Pelo Menos; Boca de Mel
Mc Pedrinho,spotify:artist:1etNnR2SdlelBQAICa2Q5m,4650685,funk; brazilian funk,72,"Encosta na Parede; Set do G15 - A Revoada Começou; DANÇARINA; Eu Vou Te Pegar; Se Prepara 2; Gol Bolinha, Gol Quadrado 2; Derrotas Pro Amor Ganhar (Ao Vivo); Patricinha; Bumbum Bate; Bipolar"
Dj LK da Escócia,spotify:artist:6WIjKbyqeO9MkfNMFJsF50,63066,funk carioca; brazilian funk; funk,71,Descer; Rebolando; Vai No Chão; Tubarão Te Amo; Bonde das Oncinhas; Viciado Em Ver Ela Descer (feat. MC Ryan SP); Vulgo Mc Paiva; Pras Novinha (feat. DJ Pedrin); Vem com a Tropa do Tubarão Tu Tu Tu Tu Tubarão; Vai pegar Nunca só em 2500
Kaique e Felipe,spotify:artist:0JRPF8WIKUtSO2IUYfrcuh,85490,sertanejo; agronejo; sertanejo universitário,71,Vacilona - Ao Vivo; Saveiro; Me Ama Consciente - Ao Vivo; Só Vivendo; Eu Quero Ser Grato; Do Final Pro Começo (Another Love) - Ao Vivo; Caindo a Ficha - Ao Vivo; Pega Sertanejo - Ao Vivo; Solteiro Iniciante; Subterrâneo - Ao Vivo
Matheus Fernandes,spotify:artist:37mqXU98U5GmH5ZDtlHM1c,907131,piseiro; sertanejo; pagode; forró; arrocha; sertanejo universitário,71,Grau de Maluca - Ao Vivo; Lapada Dela - Ao Vivo; Triplex - Ao Vivo; Balanço da Rede; Baby Me Atende - Ao Vivo; PROJETO ANOS 2000 (Sequência do Pente / Copo de Vinho / Ela Só Pensa em Beijar / Devagarinho); Altas Loucurinhas (Uni Duni Tê) - Ao Vivo; Casal De Solteiro - Ao Vivo; Coração Cachorro; Botada à Luz de Velas - Ao Vivo
Tropa da W&S,spotify:artist:1APqNiQUA2XpwLEbywSWmZ,22424,funk; brazilian funk; funk de bh,71,Encosta na Parede; Fui Mlk; MTG QUERO VER SE VOCÊ TEM ATITUDE; Baby Eu Tava na Rua da Água; Pode Me Bloquear; MTG DTMF; Ritmada Crazy; Princesinha; Ritmada do Flames; MTG Pode Me Bloquear
Dj Caio Vieira,spotify:artist:4Kv35Xnw1ODjO2nIHLhdBY,79014,funk de bh; funk; brazilian funk,71,FAMOSINHA; Aventura Com as Paty; De Baixo Pra Cima; Terminei Com A Ex; Conselho da Minha Ex; Faz 10K e Dorme; Mtg Quando a Noite Cai; Se Gostou de Mim Fé; OCASIÃO; Direto pra Base
DJ Ari SL,spotify:artist:3la3vRfIuDMsydpPfUBryR,31975,agronejo; sertanejo,70,Ama Um Maloqueiro; Descer Pra BC; Tantão; Agora Eu Pego; Agora Esquece; Mega Funk da Gauchada; NÓS TEM O DOM; Cavalgada Braba; Mega Funk Perigosa e Linda - Remix; Fuego da Roça
Malibu,spotify:artist:0PMk31f9Log4ixwUUY40p6,211437,pagode; brazilian pop,70,Eu Vou na Sua Casa; Cigana; Não Vai Embora; Penelope; Algoritmo Íntimo; Minha Arte; Pura Ilusão; Corda Bamba; Saudade de Falar de Amor; Só Quero Viajar
Vitão,spotify:artist:06lnOkY99sXVW44Y0M4BDP,902882,brazilian pop; brazilian hip hop,70,Eu Vou na Sua Casa; Poesia Acústica #7 Céu Azul; Penelope; Flores; Sei Lá; Café; Cobertor - Remix; Embrasa; Complicado; Te Liguei
DJ TOPO,spotify:artist:0xj9MJx9r0wO2o4aqdergP,249870,funk; brazilian funk,70,MTG NA IMAGINAÇÃO - TOPO SESSIONS VOL. 1; Na Imaginação; MTG QUEM NÃO QUER SOU EU; MTG PASSA PASSA PRA EU SARRAR; Medley Putaria 4.0: Socadão / Deixa Rolar / Golada No Jack / Braba No Chá; PEDRIN; Sem Chantagem; LADO MAU - TOPO SESSIONS VOL. 5; Comemoração; GOLADA NO JACK - TOPO SESSIONS VOL. 4
Kew,spotify:artist:2Ci1Tt7bCEU3OTByr1nc0y,50627,,70,Descer; Rebolando; Vai No Chão; Meu Jeito; Viciado Em Ver Ela Descer (feat. MC Ryan SP); LADO MAU - TOPO SESSIONS VOL. 5; Pensando em Mim; Feliz no Simples; Como Pode; Não Quer Love
