name,id,uri,followers,genres,popularity,top_tracks
Rafa e Junior,583d9476xT4d6A0pADiRJg,spotify:artist:583d9476xT4d6A0pADiRJg,30298,agronejo; sertanejo; sertanejo universitário,68,Ama Um Maloqueiro; Maloqueira E Patricinha - Ao Vivo; Vigia de Celular - Uaiternativo - Ao Vivo; Tey Tey Tey - Ao Vivo; Maria Paredão - Uaiternativo - Ao Vivo; Arrastadão; Juliet - Uaiternativo - Ao Vivo; Só no Rolo; Mais um Beijo - Remix; Conspirou (Remix)
Dj Caio Vieira,4Kv35Xnw1ODjO2nIHLhdBY,spotify:artist:4Kv35Xnw1ODjO2nIHLhdBY,129626,brazilian funk; funk de bh,68,FAMOSINHA; Aventura Com as Paty; Terminei Com A Ex; Faz 10K e Dorme; De Baixo Pra Cima; Conselho da Minha Ex; OCASIÃO; BALADEIRA DA NOITE; Mtg Quando a Noite Cai; Coleguinha
DJ YUZAK,651jNHJzsX4ckQvURNNAIS,spotify:artist:651jNHJzsX4ckQvURNNAIS,33568,brazilian funk; funk bruxaria,67,Montagem Sarra Sarra; Salienciazinha; Montagem essencial; MONTAGEM SHIRT BLUE; Montagem Atari Mistery / Balança o Pepeitin; Montagem Totally Strange; De Noite e Madrugada; Faz a Propaganda Amor; Montagem Uuuuuuuh; Dança na Chuva
DJ GORDINHO DA VF,2isWi9fP3idxCaGPPEelEQ,spotify:artist:2isWi9fP3idxCaGPPEelEQ,11981,brazilian funk,66,Seja Bem Vinda no Panta; Chapa nas Bebê do Trecho; Mostra Esse Tete; Pega Pega Cheio de Ódio; Uma Leve Colocada; Vo Chega Chegando; Baby Não Quero Outro Alguém (Versão Funk); Acabou Kaqui; Red Bull Te da Asas; E o Bumbum Dela Vai no Chão
MC BN,1JYiyu6QtmtwjdFz3TEFTe,spotify:artist:1JYiyu6QtmtwjdFz3TEFTe,48184,brazilian funk; brazilian phonk,66,Montagem Sarra Sarra; Salienciazinha; Montagem Atari Mistery / Balança o Pepeitin; Montagem Totally Strange; CRAZY BRAZIL - Slowed + Reverb; Montagem Uuuuuuuh; Automotivo Mazoquista; Automotivo Bruxaria no Sigilo; Automotivo vem Dançar; Só Rock Só Rock
Alef Donk,0aSE67DwCWR6JKhdVUmz6I,spotify:artist:0aSE67DwCWR6JKhdVUmz6I,24291,arrocha; piseiro; forró; seresta,66,AMOR BANDIDO; Resenha do Arrocha; Resenha do Arrocha 4.0; Resenha de Ex-Love; Resenha do Arrocha 3.0; Resenha do Arrocha 2.0; Resenha do Arrocha (Light); É Blog; Tem Culpa Eu; Especialistas do Amor
Matheus Vargas,61Y0yB7JKvkyHQ5g4Neirl,spotify:artist:61Y0yB7JKvkyHQ5g4Neirl,41903,sertanejo,65,Desocupa; Frio da Solidão / Pareço Um Menino / Amor Maior; Raparigueiro - Live; Desocupa - Remix; Aquela Boca; Se Ainda Existe Amor / Quando o Amor é Pra Valer / Volte Amor; Toma Juízo / Você Marcou Pra Mim / Quem Será Seu Outro Amor?; Programa de Fim de Semana / Como Eu Te Amo / A Solidão é Uma Ressaca; Na Força do Ódio; Ouvido Dela - Live
MC GH Original,6TlHQuC7PJX1Ki2AjN7YAy,spotify:artist:6TlHQuC7PJX1Ki2AjN7YAy,16393,brazilian funk; trap funk,65,"Vai Tomando Pock Pock; Seja Bem Vinda no Panta; Quanto Custa; Momentinho Privê; É os D Vida; E o Bumbum Dela Vai no Chão; Rei das Fugas; Ela Gosta de Bandido 🤬; Ano Novo, Vida Nova; 171 Motivos"
MC Menor ZL,7vtCvjMGmRijbRIvScJmkO,spotify:artist:7vtCvjMGmRijbRIvScJmkO,114065,brazilian funk; funk consciente,65,Vai Tomando Pock Pock; Chapa nas Bebê do Trecho; Casa Da Sogra; Set do Dj Soneca; Por Favor Não Chora; Falar Até Papagaio Fala; Nata de Sp; Alô Mãe; Porque Tem Que Ser Assim; Subiu o Salve
Grupo Chocolate,0yRgarxy0iN7x7U5VE6l7N,spotify:artist:0yRgarxy0iN7x7U5VE6l7N,27327,pagode; samba,63,Alô Virgínia - Ao Vivo; Loucura Do Seu Coração / Curto Circuito / Tu Mandas No Meu Coração / Que Se Chama Amor; Pupila / Meu Talismã / Bilhete 2.0 / Preservê - Ao Vivo; Ela É Ela; Virei Freguês; Facas / Medo Bobo / Que Sorte a Nossa - Ao Vivo; De Mal A Pior - Canta Chocolate; Dói Mas Passa - Ao Vivo; Pipoca E Brigadeiro / Maluca Pirada / Não Tem Pra Ninguém; Camaleão
Mc RN Original,2uTF1m8tP37muytAgD4YAh,spotify:artist:2uTF1m8tP37muytAgD4YAh,11404,brazilian funk; funk bruxaria,63,Montagem Sarra Sarra; MONTAGEM BAILE DE FAVELA; Toca Pancadão; ENCOSTA COCOTA; MEGA BRUXARIA VICIANTE; THAT SHIT FUNK; Montagem Sarra Sarra - Slowed; SUPER BOTAÇAO EXTREMA; Toma Sua Safada; Submundo Paradise
H4lfmeasures,1EihkUZJcXOwXN4tedcfxd,spotify:artist:1EihkUZJcXOwXN4tedcfxd,5275,brazilian trap; trap funk; trap,62,TEMPO DO OURO; Bolsa de Ombro; Maldade na Mente; Segunda Chance; Mec & Tref; Ak de Ouro; não sou EU; Monstro 2; Opção; FZND DNV
