name,uri,followers,genres,popularity,top_tracks
Humberto & Ronaldo,spotify:artist:1zEo6Fk1iaaOYFlFPBHCFn,1883176,sertanejo; sertanejo universitário; arrocha,76,12 Horas / Pra Você Acreditar - Ao Vivo; Tem Que Ser Você / O Que Combina Comigo É Você - Ao Vivo; Decida / Seu Amor Ainda É Tudo - Ao Vivo; Tudo Que Vai / Tempo Perdido - Ao Vivo; Romance - Ao Vivo; Mtg Quero Te Encontrar; Sensível Demais / É Isso Aí - Ao Vivo; Duas Vezes Você / Nova York - Ao Vivo; Cê Tá Doido - Ao Vivo; Antes de Voltar pra Casa / A Ferro e Fogo - Ao Vivo
Gustavo Mioto,spotify:artist:1X6ORK7IekgmyjV6IFPszP,7115666,sertanejo; sertanejo universitário; arrocha; agronejo,76,Nada Com Nada - Ao Vivo; Princesa - Ao Vivo; Anti Amor - Ao Vivo; ACHOU QUE EU IA SER TROUXA - Ao Vivo; Cama Embrasa; A Chance É Grande - Ao Vivo; Com Ou Sem Mim - Ao Vivo; Fronteira - Ao Vivo; Contramão - Ao Vivo; Solteiro Não Trai - Ao Vivo
PEDRO SAMPAIO,spotify:artist:5wbf52LA6kcaboHSN6NEF1,3047943,brazilian funk; funk pop; funk carioca; brega funk; brazilian pop,75,SEQUÊNCIA FEITICEIRA; ESCADA DO PRÉDIO; PERVERSA; SEQUÊNCIA STRIPTEASE; POCPOC; CAVALINHO; BOTA UM FUNK; Medley Canoa - Putaria no Escuro / Menina do Job / Escada do Prédio / Mal Caminho / Pede Que eu Te Dou; DANÇARINA; GALOPA
Clayton & Romário,spotify:artist:1tKrZaph4cLsnEdqC5BNEQ,707970,sertanejo; sertanejo universitário; agronejo; arrocha,75,Opa Cadê Eu - Ao Vivo; Se Eu Te Perdoar - Ao Vivo; Cachaçada - Ao Vivo; Desapaixona Eu - Ao Vivo; Sei Tocar Violão - Ao Vivo; Aproveita - Ao Vivo; Namorando Ou Não - Ao Vivo; Morena - Ao Vivo; Ai Eu Chorei - Ao Vivo; Desacelera Esse Passo - Ao Vivo
Felipe e Rodrigo,spotify:artist:7gZu6kPnY9enEi5FvgTO4F,519458,sertanejo; sertanejo universitário; agronejo,75,Caos De Alguém - Ao Vivo; Gosta De Rua - Ao Vivo; Melhor Me Bloquear - Ao Vivo; Pega O Beco - Ao Vivo; Não Dorme Mais - Ao Vivo; Oceano - Ao Vivo; Próximo Amor - Ao Vivo; Saudade Butequeira - Ao Vivo; Média Boa - Ao Vivo; Banquinho - Ao Vivo
Mc Livinho,spotify:artist:7me0S5Z40qVWj3gzyK8aC3,7982498,brazilian funk; funk carioca,75,Vidrado Em Você; MTG NA IMAGINAÇÃO - TOPO SESSIONS VOL. 1; Rebolando; Na Imaginação; MTG PASSA PASSA PRA EU SARRAR; Fazer Falta; Hoje Eu Vou Parar Na Gaiola; Ela Vem; Irmã Gostosa; Amor É Mentira
MC Jvila,spotify:artist:2f8xoxornfSw6ePzgyM9NO,291705,brazilian funk; trap funk; funk consciente,75,Vou pela Madrugada; Pirocada Quente; Olha pra Cara de Quem Te...; 365 Dias (Vida Mansa); 300 no 7; Toma Que Toma; Pantera; Ela Quer Se Bronzear; Quem Tem Transa; Pix ou Presente?
MC Nito,spotify:artist:0EOOwVUWdPElrXOJyKOiBw,33614,brazilian funk; funk carioca,74,Construção de Amor; Rabetão De Terremoto; THAINÁ THAINÁ; ME LIGOU NA MADRUGADA; Braba No Chá; Vem No Galope; Médio Versalico; Introdução em Dó Menor; Medley Putaria 4.0: Socadão / Deixa Rolar / Golada No Jack / Braba No Chá; Tropa dos não Rejeita
Guilherme & Benuto,spotify:artist:6m6e7D2TnV0aYMllFFwMxu,2003785,sertanejo; sertanejo universitário; agronejo; arrocha; piseiro,74,Grau de Maluca - Ao Vivo; Filho da Mãe - Ao Vivo; Manda um Oi - Ao Vivo; Quarto 67 - Ao Vivo; Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo; Sujeito Homem - Ao Vivo; Torre Eiffel - Ao Vivo; Mesma Língua - Ao Vivo; Jogado Na Rua / Casa Amarela - Ao Vivo; Duas Três
DJ Guh Mix,spotify:artist:3zG4hHVlA4xIX5jwvOa2KD,151375,brazilian funk; trap funk; funk consciente,74,Vou pela Madrugada; Pirocada Quente; Medley de Igaratá 3; Medley de Igaratá 6; Angelotti; Quarto de Motel; Medley de Igaratá 4; A Nata; Toma Gostosona; Quando Você Ligou
BIN,spotify:artist:1WXbiUMl1AT9Inb619xPUg,2179345,brazilian trap; brazilian hip hop; trap funk; trap,73,Eu Vou na Sua Casa; Champagne; Saturno; Poesia Acústica #12 Pra Sempre; Marília Mendonça; Apê 1001; Penelope; Quase uma Semana; Carro Forte; Dior
Xand Avião,spotify:artist:43DRDu6nLSeIedZ7T1A616,3347117,forró; piseiro; sertanejo; arrocha; sertanejo universitário; brega,73,"Melzinho; Matadinha De Saudade - Ao Vivo; Medley Muído de Vaquejada - Desce do Cavalo / Balada do Vaqueiro / Monta Logo Vai / Calma / Senta No Fazendeiro / Deixa Ela Montar Na Minha Garupa / Botadão Do GW; Que Pancada de Mulher; Sede de Te Amar / Timidez - Ao Vivo; Nunca Mais - Ao Vivo; Balanço da Rede; Assunto Delicado - Ao Vivo; O Rei das Vaquejadas / Não Sou Vaqueiro / É o Boi, o Cavalo e o Vaqueiro / Cavaleiro Alado - Ao Vivo; Basta Você Me Ligar - Ao Vivo"
