track_name,primary_artist_name,all_artists,album_name,track_popularity,artist_popularity,artist_followers,artist_genres,album_release_date,duration_readable,is_explicit,track_url,track_uri,lastfm_listeners,lastfm_playcount,lastfm_tags,mb_country,mb_area,mb_tags,mb_score,mb_career_start,mb_career_end,mb_artist_type,mb_gender,lastfm_track_listeners,lastfm_track_playcount,lastfm_track_tags,external_source
I Want You Alone,nahdoitagain,nahdoitagain,I Want You Alone,,,,,2024-10-27,3:36,False,https://open.spotify.com/track/1ZP28Ot8Gy3v4dFDNSZVNP,spotify:track:1ZP28Ot8Gy3v4dFDNSZVNP,29807,117007,shoegaze; folk; Gothic; goth; neofolk,,,,0,,,,,3155,7195,,lastfm
limerence reboot,Deer park,Deer park,limerence reboot,,,,,2024-02-27,4:48,False,https://open.spotify.com/track/3xYXKLzjyUoBgEISXLGoZZ,spotify:track:3xYXKLzjyUoBgEISXLGoZZ,38572,465721,dream pop; indie rock; water; Played a WagonWheel show at The Grapes,US,United States,rock; alternative rock; industrial rock; metal; american,100,1996,,Group,,1773,8238,,lastfm
Watching Closely,Florence Sinclair,Florence Sinclair,Gentle Decay,,,,,2021-06-28,1:46,False,https://open.spotify.com/track/7s3OKMAmgCzN9kCUct82Bi,spotify:track:7s3OKMAmgCzN9kCUct82Bi,45552,773311,electronica; ambient; rap; alternative; idm,DE,Germany,fuzzy artist - series; has german audio plays; series title as artist; audio drama; _consistency,100,1981,,Character,male,7760,24323,,lastfm+mb
Nothing Wrong,Mori Mori,Mori Mori; 50matches,BB Void,,,,,2024-10-24,3:15,False,https://open.spotify.com/track/4WszIw0tmHSwqFejdZtrKi,spotify:track:4WszIw0tmHSwqFejdZtrKi,32369,243029,experimental; ambient; noise; electronic; drone,,,,100,,,Person,,3556,9533,,lastfm+mb
The Commitment Issue,Car Culture,Car Culture; Physical Therapy,Rest Here,,,,,2025-10-09,4:52,False,https://open.spotify.com/track/2IPhYtVsXK9DIvNxzew8sP,spotify:track:2IPhYtVsXK9DIvNxzew8sP,31815,226660,ambient; Leftfield; downtempo; Canadian; montreal,JM,Jamaica,reggae; dub; roots reggae; soul and reggae,100,1976,,Group,,2841,7270,,lastfm+mb
Oceanside Spider House,Jabu,Jabu,A Soft and Gatherable Star,,,,,2024-10-18,3:20,False,https://open.spotify.com/track/4oQcPo88W5I1ACaNT1zUpx,spotify:track:4oQcPo88W5I1ACaNT1zUpx,39477,362107,electronic; experimental; ambient; dub; downtempo,,,,100,,,Group,,22223,64609,,lastfm+mb
RIVER,Contacto,Contacto,ASTRAY,,,,,2022-05-27,1:17,False,https://open.spotify.com/track/782k1ir8bxSuY5HaBm8GF1,spotify:track:782k1ir8bxSuY5HaBm8GF1,11415,75599,electronic; ambient; folk; psychedelic; dream pop,AR,Argentina,,100,,,Person,female,8450,31554,,lastfm
Time Polish,Lovefear,Lovefear; LJM.,Time Polish,,,,,2024-10-09,3:26,False,https://open.spotify.com/track/4SBbBKxypeNmDPs1xnpAbU,spotify:track:4SBbBKxypeNmDPs1xnpAbU,33673,166665,,AU,Australia,,100,,,,,24540,64787,,lastfm+mb
Labrat,Solvent OS,Solvent OS,Clickbait Manifesto,,,,,2023-05-31,3:41,False,https://open.spotify.com/track/3m7D3Mqi37JfPZ5TKPCWZt,spotify:track:3m7D3Mqi37JfPZ5TKPCWZt,33984,197983,USA,US,United States,,100,,,Person,male,3935,9205,,lastfm
Drifting away,Detente,Detente,Ghosts,,,,,2024-05-28,2:54,False,https://open.spotify.com/track/5BPsIpEHzKt0vQG4Jd8iHK,spotify:track:5BPsIpEHzKt0vQG4Jd8iHK,16716,216696,thrash metal; speed metal; Female fronted metal; american; 80s,US,United States,metal; thrash metal,100,1984,,Group,,1700,3950,,lastfm+mb
