track_name,primary_artist_name,all_artists,album_name,track_popularity,artist_popularity,artist_followers,artist_genres,album_release_date,duration_readable,is_explicit,track_url,track_uri,lastfm_listeners,lastfm_playcount,lastfm_tags,mb_country,mb_area,mb_tags,mb_score,mb_career_start,mb_career_end,mb_artist_type,mb_gender,lastfm_track_listeners,lastfm_track_playcount,lastfm_track_tags,external_source
Isolation,Dosi,Dosi; Wishes and Dreams,Arodasio,37,61,5699,lo-fi; lo-fi beats,2023-01-30,2:01,False,https://open.spotify.com/track/5rJSYx2p75tDHYJtsv1BxV,spotify:track:5rJSYx2p75tDHYJtsv1BxV,271115,2178147,instrumental hip-hop,,Nice,downtempo; instrumental; hip hop; alternative; lo-fi,100,,,Person,male,52108,134562,,lastfm+mb
Aether,Dosi,Dosi,Aether,54,61,5699,lo-fi; lo-fi beats,2025-08-25,2:35,False,https://open.spotify.com/track/0JgaSxqTg7xNIuBuRmlrcf,spotify:track:0JgaSxqTg7xNIuBuRmlrcf,271115,2178147,instrumental hip-hop,,Nice,downtempo; instrumental; hip hop; alternative; lo-fi,100,,,Person,male,10135,25900,,lastfm+mb
When The Sun Rises,Dosi,Dosi; So.Lo,Magic Box,54,61,5699,lo-fi; lo-fi beats,2026-01-05,2:51,False,https://open.spotify.com/track/3IXjt8jGCkXvMnkl9jFRdq,spotify:track:3IXjt8jGCkXvMnkl9jFRdq,271115,2178147,instrumental hip-hop,,Nice,downtempo; instrumental; hip hop; alternative; lo-fi,100,,,Person,male,5806,10377,,lastfm+mb
When I Remember You,Dosi,Dosi; So.Lo,Magic Box,54,61,5699,lo-fi; lo-fi beats,2026-01-05,2:42,False,https://open.spotify.com/track/5R24ybGsrZRRNPSkxMabwm,spotify:track:5R24ybGsrZRRNPSkxMabwm,271115,2178147,instrumental hip-hop,,Nice,downtempo; instrumental; hip hop; alternative; lo-fi,100,,,Person,male,6095,11014,,lastfm+mb
Hot Chocolate,Dosi,Dosi; So.Lo,Magic Box,53,61,5699,lo-fi; lo-fi beats,2026-01-05,2:46,False,https://open.spotify.com/track/0edMq5rvsbADVP90dW0DEr,spotify:track:0edMq5rvsbADVP90dW0DEr,271115,2178147,instrumental hip-hop,,Nice,downtempo; instrumental; hip hop; alternative; lo-fi,100,,,Person,male,5706,10094,,lastfm+mb
Old Time,Dosi,Dosi; So.Lo,Magic Box,54,61,5699,lo-fi; lo-fi beats,2026-01-05,2:51,False,https://open.spotify.com/track/2l3I5yfeXSfB0YcSzVkGC0,spotify:track:2l3I5yfeXSfB0YcSzVkGC0,271115,2178147,instrumental hip-hop,,Nice,downtempo; instrumental; hip hop; alternative; lo-fi,100,,,Person,male,5689,10279,,lastfm+mb
Something Missing,Dosi,Dosi; So.Lo,Magic Box,53,61,5699,lo-fi; lo-fi beats,2026-01-05,2:35,False,https://open.spotify.com/track/0PuBavzyEtWNjjY6TXCOe5,spotify:track:0PuBavzyEtWNjjY6TXCOe5,271115,2178147,instrumental hip-hop,,Nice,downtempo; instrumental; hip hop; alternative; lo-fi,100,,,Person,male,5147,9139,,lastfm+mb
With Your Eyes Closed,Dosi,Dosi; So.Lo,Magic Box,53,61,5699,lo-fi; lo-fi beats,2026-01-05,2:15,False,https://open.spotify.com/track/0IrWiB6FtfYBlD3OUfFYHU,spotify:track:0IrWiB6FtfYBlD3OUfFYHU,271115,2178147,instrumental hip-hop,,Nice,downtempo; instrumental; hip hop; alternative; lo-fi,100,,,Person,male,5758,10066,,lastfm+mb
A Better Place,Project AER,Project AER; cxlt.,Growth Patterns,53,49,8029,lo-fi hip hop; lo-fi; lo-fi beats,2021-02-27,1:59,False,https://open.spotify.com/track/14fjRdR9iusUysHJHatVOB,spotify:track:14fjRdR9iusUysHJHatVOB,217646,1902276,Lo-Fi; chillout; chill; electronic; instrumental hip-hop,GB,United Kingdom,downtempo; instrumental; house; hip hop; electronica,100,,,Person,male,70219,194660,,lastfm+mb
Candle,cxlt.,cxlt.,Candle,55,60,9317,lo-fi hip hop; lo-fi; lo-fi beats,2026-01-16,2:33,False,https://open.spotify.com/track/36miYkAIE0pKfM7G0aCV3S,spotify:track:36miYkAIE0pKfM7G0aCV3S,307904,3048282,electronic; netherlands; Lo-Fi; instrumental hip-hop; lo-fi hip hop,NL,Netherlands,downtempo; instrumental; hip hop; lo-fi; boom bap,100,,,Person,male,7326,17435,,lastfm+mb
