track_name,primary_artist_name,all_artists,album_name,track_popularity,artist_popularity,artist_followers,artist_genres,album_release_date,duration_readable,is_explicit,track_url,track_uri,lastfm_listeners,lastfm_playcount,lastfm_tags,mb_country,mb_area,mb_tags,mb_score,mb_career_start,mb_career_end,mb_artist_type,mb_gender,lastfm_track_listeners,lastfm_track_playcount,lastfm_track_tags,external_source
Same,Taraneh,Taraneh,Grab Bag,3,30,7818,,2020-06-19,1:38,False,https://open.spotify.com/track/6IWjNhLIgtPTF4576ZHaou,spotify:track:6IWjNhLIgtPTF4576ZHaou,54877,498994,iran; dream pop; folk; Garage Rock; female vocalist,,New York,,100,,,Person,female,364,1716,,lastfm+mb
Jessie,Taraneh,Taraneh,Grab Bag,3,30,7818,,2020-06-19,2:15,False,https://open.spotify.com/track/7fhohpx7jAKnQCT2qpV4Fx,spotify:track:7fhohpx7jAKnQCT2qpV4Fx,54877,498994,iran; dream pop; folk; Garage Rock; female vocalist,,New York,,100,,,Person,female,368,1499,,lastfm+mb
Body,Taraneh,Taraneh,Grab Bag,3,30,7818,,2020-06-19,3:05,False,https://open.spotify.com/track/19dzkRud3Ku4SumvwHcefI,spotify:track:19dzkRud3Ku4SumvwHcefI,54877,498994,iran; dream pop; folk; Garage Rock; female vocalist,,New York,,100,,,Person,female,359,1417,,lastfm+mb
On Repeat,Taraneh,Taraneh,On Repeat,3,30,7818,,2024-03-18,2:21,False,https://open.spotify.com/track/47vFsYBzSYJe4FMoKS8LJW,spotify:track:47vFsYBzSYJe4FMoKS8LJW,54877,498994,iran; dream pop; folk; Garage Rock; female vocalist,,New York,,100,,,Person,female,3930,13032,,lastfm+mb
Keys,Patch +,Patch +,Keys,5,30,7950,electroclash,2023-05-20,1:58,False,https://open.spotify.com/track/6G2nP3z7hvkIuAwL8GxMIc,spotify:track:6G2nP3z7hvkIuAwL8GxMIc,0,0,,,,,100,2020,,,,0,0,,mb
Can't Fret | Peeling at My Throat,Patch +,Patch +,Can't Fret | Peeling at My Throat,6,30,7950,electroclash,2020-10-05,6:12,True,https://open.spotify.com/track/3IT80qgKRJaWKYG4UoGpBt,spotify:track:3IT80qgKRJaWKYG4UoGpBt,0,0,,,,,100,2020,,,,0,0,,mb
leave with everything,Patch +,Patch +,leave with everything,6,30,7950,electroclash,2023-01-01,3:44,False,https://open.spotify.com/track/75VdaJFeHVzCcOEUTNxzMb,spotify:track:75VdaJFeHVzCcOEUTNxzMb,0,0,,,,,100,2020,,,,0,0,,mb
California,Patch +,Patch +,This One's For You,13,30,7950,electroclash,2024-08-16,1:22,False,https://open.spotify.com/track/5WJws0eSlp3eOP47cqzQdl,spotify:track:5WJws0eSlp3eOP47cqzQdl,0,0,,,,,100,2020,,,,0,0,,mb
Who Baby,Patch +,Patch +,White Paper,15,30,7950,electroclash,2023-07-14,2:24,False,https://open.spotify.com/track/5eZhPdiXqF2NQQo1WOw69l,spotify:track:5eZhPdiXqF2NQQo1WOw69l,0,0,,,,,100,2020,,,,0,0,,mb
TKO,Patch +,Patch +,White Paper,15,30,7950,electroclash,2023-07-14,2:14,False,https://open.spotify.com/track/3nu2mmV8ddel1yGnjRPuHb,spotify:track:3nu2mmV8ddel1yGnjRPuHb,0,0,,,,,100,2020,,,,0,0,,mb
