artist_name,artist_id,popularity,followers_total,genres,spotify_url,image_url
Mondo Loops,1XFN3VcuKr4tsTtQlRiTgK,63,43313,lo-fi hip hop; lo-fi; lo-fi beats,https://open.spotify.com/artist/1XFN3VcuKr4tsTtQlRiTgK,https://i.scdn.co/image/ab6761610000e5eb523536831221e9a4c169513b
KiddoCalvin,08tB77WyTGC9pZ5Pm7Ymu6,45,245,lo-fi beats; lo-fi,https://open.spotify.com/artist/08tB77WyTGC9pZ5Pm7Ymu6,https://i.scdn.co/image/ab67616d0000b273247a93a03f8f1168fad700f4
Mujo,0vg08N1z9G9LrGLkG1nNDS,56,31785,lo-fi; lo-fi hip hop; lo-fi beats; jazz beats,https://open.spotify.com/artist/0vg08N1z9G9LrGLkG1nNDS,https://i.scdn.co/image/ab6761610000e5eb71ee2525730e43400a58fb98
new vibe,4opkbCiRUcXTOudZGFZAeo,52,299,lo-fi; lo-fi beats,https://open.spotify.com/artist/4opkbCiRUcXTOudZGFZAeo,https://i.scdn.co/image/ab67616d0000b27352e958f6a821d13c92068fbc
Oroshi,3gqs8fHrmLkMfjT5BI1bNh,58,344,,https://open.spotify.com/artist/3gqs8fHrmLkMfjT5BI1bNh,https://i.scdn.co/image/ab67616d0000b273a63f1c28ae1287ce4679155f
Floating Basket,2IzEDl5pSEGreH32EGY5hc,53,282,lo-fi; lo-fi beats,https://open.spotify.com/artist/2IzEDl5pSEGreH32EGY5hc,https://i.scdn.co/image/ab6761610000e5eb3a84de176c04b4cb4666385b
Dimension 32,46RYzJ2442SuhtOTl281nz,57,10736,lo-fi; lo-fi hip hop; lo-fi beats,https://open.spotify.com/artist/46RYzJ2442SuhtOTl281nz,https://i.scdn.co/image/ab6761610000e5eba8f0bc137920f06f0f3fd9b3
deadman 死人,1IAIRAvJCUc01U0doDVKN9,48,52858,anime,https://open.spotify.com/artist/1IAIRAvJCUc01U0doDVKN9,https://i.scdn.co/image/ab6761610000e5ebcb3fff762598068241d78f92
Project AER,0iMWUBpWAGKAenBVePrZFP,49,8029,lo-fi hip hop; lo-fi; lo-fi beats,https://open.spotify.com/artist/0iMWUBpWAGKAenBVePrZFP,https://i.scdn.co/image/ab6761610000e5eba6804d9e4607d940b5903b05
Bcalm,7M4y7qvcYja7RcXNCGrjeP,58,11431,lo-fi; lo-fi hip hop; lo-fi beats,https://open.spotify.com/artist/7M4y7qvcYja7RcXNCGrjeP,https://i.scdn.co/image/ab6761610000e5eb8a7cd291e72e7cb845b0b561
Sunny Léo,2w5KiJbmzmpynhshcjodYG,46,36,,https://open.spotify.com/artist/2w5KiJbmzmpynhshcjodYG,https://i.scdn.co/image/ab67616d0000b273ba31408fc8b5794a97cd8608
Sátyr,5D6V4Z6oPz4waooiuBaWIf,54,6437,lo-fi; lo-fi hip hop; lo-fi beats; jazz beats,https://open.spotify.com/artist/5D6V4Z6oPz4waooiuBaWIf,https://i.scdn.co/image/ab6761610000e5ebd76f59006620bdeb781cc288
Ambulo,6sPQwc6lix6K1Gv64v91Ml,54,9970,lo-fi hip hop; lo-fi; lo-fi beats,https://open.spotify.com/artist/6sPQwc6lix6K1Gv64v91Ml,https://i.scdn.co/image/ab6761610000e5ebff2129be353c07610de4e663
Cloudroom,6x4p39bu2ObskR6pMFFh6Z,51,146,lo-fi beats; lo-fi,https://open.spotify.com/artist/6x4p39bu2ObskR6pMFFh6Z,https://i.scdn.co/image/ab6761610000e5eb36359edd2671294c5daecc2a
Philanthrope,13ACz7DIictCpSYGglNTHs,53,48094,lo-fi beats; lo-fi hip hop; lo-fi; jazz beats,https://open.spotify.com/artist/13ACz7DIictCpSYGglNTHs,https://i.scdn.co/image/ab6761610000e5eba29596e6a4e53b83d2b002d2
loutwo,0GkUiuixKRnwTkGaJfEmkf,54,339,lo-fi; lo-fi beats,https://open.spotify.com/artist/0GkUiuixKRnwTkGaJfEmkf,https://i.scdn.co/image/ab6761610000e5eb1e960a292b552bed2bfd8efe
Yasumu,53rCVzFVlyntj7jEjnY2oM,53,18769,lo-fi hip hop; lo-fi; lo-fi beats,https://open.spotify.com/artist/53rCVzFVlyntj7jEjnY2oM,https://i.scdn.co/image/ab6761610000e5eb2b9dabdc1b6db11af940df01
Space Queen,3m5nS34Ypq4yvWZ2krrVHD,46,1402,lo-fi,https://open.spotify.com/artist/3m5nS34Ypq4yvWZ2krrVHD,https://i.scdn.co/image/ab6761610000e5eb57833395a5a99ba00cd7290a
Erwin Do,4EUMzs3VfIVjB5yrHv153S,58,4836,jazz beats; lo-fi; lo-fi beats,https://open.spotify.com/artist/4EUMzs3VfIVjB5yrHv153S,https://i.scdn.co/image/ab6761610000e5eb3102de45778d99c06a0dc4e5
lilibu,2GAEdgtVHrKsjcHqwUFjpI,54,2618,lo-fi; lo-fi beats,https://open.spotify.com/artist/2GAEdgtVHrKsjcHqwUFjpI,https://i.scdn.co/image/ab67616d0000b2736bd53398ed3a7d664698e47e
Slowday,4twRiTv6fnJpXOReoe8bmz,52,779,lo-fi; lo-fi beats,https://open.spotify.com/artist/4twRiTv6fnJpXOReoe8bmz,https://i.scdn.co/image/ab67616d0000b2734cd4dbdffcb978e71e63d062
No Spirit,4XbnhifKeOnyfTsCInrQsX,60,22151,lo-fi hip hop; lo-fi; lo-fi beats,https://open.spotify.com/artist/4XbnhifKeOnyfTsCInrQsX,https://i.scdn.co/image/ab6761610000e5ebfc1279efe2524dd77279951f
Dry Season,2RpCGiBorQiczooQVuu2zo,44,22,lo-fi beats,https://open.spotify.com/artist/2RpCGiBorQiczooQVuu2zo,https://i.scdn.co/image/ab6761610000e5eb1da5bac083e55afdfdbf607f
$imba,6ZPRXOOs0K9EipFamTz2YP,45,281,lo-fi,https://open.spotify.com/artist/6ZPRXOOs0K9EipFamTz2YP,https://i.scdn.co/image/ab6761610000e5eb203657fea8db033d7609cb8e
French Connection,65psUobejSe9ZkjPgtCtZW,42,535,lo-fi beats; lo-fi,https://open.spotify.com/artist/65psUobejSe9ZkjPgtCtZW,https://i.scdn.co/image/ab67616d0000b273a94b8f2fda25bd97a9a8f744
slowburn,4wSDv48fN9mItDjtMpSEDo,55,3395,lo-fi,https://open.spotify.com/artist/4wSDv48fN9mItDjtMpSEDo,https://i.scdn.co/image/ab6761610000e5ebefc862b1df868d4c4d2adf50
Tooslo,3CBEpst0ojgj2ZBmzDighK,49,534,lo-fi,https://open.spotify.com/artist/3CBEpst0ojgj2ZBmzDighK,https://i.scdn.co/image/ab6761610000e5eb859d295953a1fb091da88f9f
Kainbeats,4n9z9czt00gzw36hdoVU3G,60,20899,lo-fi; lo-fi hip hop; lo-fi beats,https://open.spotify.com/artist/4n9z9czt00gzw36hdoVU3G,https://i.scdn.co/image/ab6761610000e5eb3f418f5a0f8fc8bfae220496
Spring Bingo,6nKx4Rzt8UvlMs3zEiwMif,51,472,lo-fi; lo-fi beats,https://open.spotify.com/artist/6nKx4Rzt8UvlMs3zEiwMif,https://i.scdn.co/image/ab67616d0000b2733d076bfefb1af1e50d697499
Corridor,0Tc5RmUZd5MfNBwBQfEXld,46,39,lo-fi beats; lo-fi,https://open.spotify.com/artist/0Tc5RmUZd5MfNBwBQfEXld,https://i.scdn.co/image/ab6761610000e5eb1c1f16f71ec121491d603711
sellar,2eE2igevXc1oO8cBldYZDy,52,1253,lo-fi; lo-fi beats,https://open.spotify.com/artist/2eE2igevXc1oO8cBldYZDy,https://i.scdn.co/image/ab67616d0000b273694209bcc6388e17c5a0392f
Fracta Aurea,6IfjthXfdys0smRoO7rBGL,51,254,lo-fi beats; lo-fi,https://open.spotify.com/artist/6IfjthXfdys0smRoO7rBGL,https://i.scdn.co/image/ab6761610000e5ebb08350b1c35d9f147e3fa00d
Alto,1qxsFKTu2u0qvv0fqNRv3r,43,1222,lo-fi,https://open.spotify.com/artist/1qxsFKTu2u0qvv0fqNRv3r,https://i.scdn.co/image/ab6761610000e5eb95996349fe35915e0bda3e74
Yumeoka,2QO9MfQwz3oGySq5Tiuo4Q,44,206,lo-fi,https://open.spotify.com/artist/2QO9MfQwz3oGySq5Tiuo4Q,https://i.scdn.co/image/ab67616d0000b273fcade59a51eb431ae6d16f7f
Banks,6L9h5cN2DNOoMqFRgIv7uU,58,4397,lo-fi; lo-fi hip hop; lo-fi beats,https://open.spotify.com/artist/6L9h5cN2DNOoMqFRgIv7uU,https://i.scdn.co/image/ab6761610000e5eb17ec290353bd519787782596
mxgnetic.,5u7mGLVX9UB0iKwkgMywJ9,46,116,lo-fi,https://open.spotify.com/artist/5u7mGLVX9UB0iKwkgMywJ9,https://i.scdn.co/image/ab67616d0000b2732fc96b269bd1cf5ceab931e0
Soulflu,6dBaFTE0JSiCN4JL9K03tM,46,298,lo-fi,https://open.spotify.com/artist/6dBaFTE0JSiCN4JL9K03tM,https://i.scdn.co/image/ab6761610000e5eb858a7aa41684b11f005a7201
Frances The Mute,2wCcRWGIQVa5m5oJuBplAs,42,2132,jazz beats; lo-fi beats; lo-fi,https://open.spotify.com/artist/2wCcRWGIQVa5m5oJuBplAs,https://i.scdn.co/image/ab6761610000e5ebf36ea002ae4661876689a4c5
Smith Beats,5HHXSrUf66808GVDTVmH1u,44,1173,lo-fi; lo-fi beats,https://open.spotify.com/artist/5HHXSrUf66808GVDTVmH1u,https://i.scdn.co/image/ab6761610000e5eb367c97461e318ac523026847
Juliàn,2SJLGPoAJhy9Id6N8oAftk,58,3646,lo-fi; lo-fi beats,https://open.spotify.com/artist/2SJLGPoAJhy9Id6N8oAftk,https://i.scdn.co/image/ab6761610000e5ebbe990010b592c41b01726574
softflow,7bpXsZz8CK2r8QWptlceTP,45,206,lo-fi beats; lo-fi,https://open.spotify.com/artist/7bpXsZz8CK2r8QWptlceTP,https://i.scdn.co/image/ab6761610000e5eb2b290622a661f88eb942577d
Lenny Loops,6MvnyPinXRQbUCMsPoymhR,56,5064,lo-fi; lo-fi hip hop; lo-fi beats,https://open.spotify.com/artist/6MvnyPinXRQbUCMsPoymhR,https://i.scdn.co/image/ab6761610000e5eb785ceb93d4bc47272f507e22
Cozeen,1r8Sy3pJbfjT1R1y18C6B9,42,9,lo-fi beats,https://open.spotify.com/artist/1r8Sy3pJbfjT1R1y18C6B9,https://i.scdn.co/image/ab67616d0000b273f69442b0087ea2e4790d817e
jean opal,4vSheQ1c3KW4v7MOrPE7ql,44,60,lo-fi; lo-fi beats,https://open.spotify.com/artist/4vSheQ1c3KW4v7MOrPE7ql,https://i.scdn.co/image/ab67616d0000b273b70a0f0943c408ebec980db9
"Oh, My.",1f5I28sZb2efjRLXO1jX0h,45,1264,jazz beats; lo-fi beats; lo-fi hip hop; lo-fi,https://open.spotify.com/artist/1f5I28sZb2efjRLXO1jX0h,https://i.scdn.co/image/ab6761610000e5ebc8af974cfed54e7ec6b121e3
Golden Mist,0Hd6QWTqvltK9qwevGqQtK,54,584,lo-fi,https://open.spotify.com/artist/0Hd6QWTqvltK9qwevGqQtK,https://i.scdn.co/image/ab6761610000e5ebc0666e0ff5804b72b02a0505
Notation,6Ez42bOoRelk95xv7GBMhx,51,1690,lo-fi beats; lo-fi; jazz beats,https://open.spotify.com/artist/6Ez42bOoRelk95xv7GBMhx,https://i.scdn.co/image/ab6761610000e5eba72ece31a2a0f25aec03387a
Lofi Girl,1eDIWVJt7ZWKsrXw5WVNsN,62,233732,lo-fi,https://open.spotify.com/artist/1eDIWVJt7ZWKsrXw5WVNsN,https://i.scdn.co/image/ab6761610000e5ebb76821624d579822177cf3a3
Ali Kaj,06VNBq9wJN4eEo6ZRM7HGI,47,1469,lo-fi beats; lo-fi,https://open.spotify.com/artist/06VNBq9wJN4eEo6ZRM7HGI,https://i.scdn.co/image/ab67616d0000b27345c9cd7f2a6cac1c13a4d7da
Towerz,1bbah9s09626gweOzzLbKG,54,11319,lo-fi hip hop; lo-fi; lo-fi beats,https://open.spotify.com/artist/1bbah9s09626gweOzzLbKG,https://i.scdn.co/image/ab6761610000e5eb6c21c70624087c2b33e2397d
